shape,colourshape,picture,correctAns,loops.thisRepN,loops.thisTrialN,loops.thisN,loops.thisIndex,newname.thisRepN,newname.thisTrialN,newname.thisN,newname.thisIndex,rules.started,rules.stopped,begin.keys,begin.rt,begin.started,begin.stopped,shapeResp.keys,shapeResp.rt,shapeResp.started,shapeResp.stopped,cross.started,cross.stopped,image.started,image.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,cros2.started,cros2.stopped,dimResp.keys,dimResp.rt,dimResp.started,dimResp.stopped,opaque.started,opaque.stopped,ending.started,ending.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,19.5827948,None,space,15.509431,19.5827948,None,,,,,,,,,,,,,,,,,,,,,,,,,11,1,2021_Dec_01_1455,ShapeDimExp,2021.2.3,60.15775767
square,circle.png,squaredim.png,left,0,0,0,19,,,,,,,,,,,right,0.4545297,35.633653,None,35.1426356,35.5468342,35.633653,35.7469383,,,,,,,,,,,,,,,,,11,1,2021_Dec_01_1455,ShapeDimExp,2021.2.3,60.15775767
circle,circle.png,circledim.png,right,0,1,1,1,,,,,,,,,,,right,0.3653707,38.1462639,None,37.6601527,38.0629887,38.1462639,38.2463862,,,,,,,,,,,,,,,,,11,1,2021_Dec_01_1455,ShapeDimExp,2021.2.3,60.15775767
circle,circle.png,circledim.png,right,0,2,2,2,,,,,,,,,,,right,0.3426859,40.6292924,None,40.1442754,40.546043,40.6292924,40.7295417,,,,,,,,,,,,,,,,,11,1,2021_Dec_01_1455,ShapeDimExp,2021.2.3,60.15775767
circle,square.png,circledim.png,right,0,3,3,9,,,,,,,,,,,right,0.3606274,43.1452041,None,42.6543691,43.0624296,43.1452041,43.2451529,,,,,,,,,,,,,,,,,11,1,2021_Dec_01_1455,ShapeDimExp,2021.2.3,60.15775767
square,circle.png,squaredim.png,left,0,4,4,20,,,,,,,,,,,right,0.3647208,45.6282352,None,45.1321508,45.5453565,45.6282352,45.7284521,,,,,,,,,,,,,,,,,11,1,2021_Dec_01_1455,ShapeDimExp,2021.2.3,60.15775767
square,circle.png,squaredim.png,left,0,5,5,21,,,,,,,,,,,right,0.4048285,48.1277546,None,47.6402121,48.0442433,48.1277546,48.2281921,,,,,,,,,,,,,,,,,11,1,2021_Dec_01_1455,ShapeDimExp,2021.2.3,60.15775767
circle,circle.png,circledim.png,right,0,6,6,3,,,,,,,,,,,right,0.3343368,50.6276606,None,50.1353462,50.5437056,50.6276606,50.7269088,,,,,,,,,,,,,,,,,11,1,2021_Dec_01_1455,ShapeDimExp,2021.2.3,60.15775767
circle,circle.png,circledim.png,right,0,7,7,4,,,,,,,,,,,right,0.304941,53.126497,None,52.6333664,53.0432342,53.126497,53.2271847,,,,,,,,,,,,,,,,,11,1,2021_Dec_01_1455,ShapeDimExp,2021.2.3,60.15775767
square,square.png,squaredim.png,left,0,8,8,28,,,,,,,,,,,left,0.3245865,55.6103193,None,55.1363679,55.5432727,55.6103193,55.7110288,,,,,,,,,,,,,,,,,11,1,2021_Dec_01_1455,ShapeDimExp,2021.2.3,60.15775767
