shape,colourshape,picture,correctAns,loops.thisRepN,loops.thisTrialN,loops.thisN,loops.thisIndex,newname.thisRepN,newname.thisTrialN,newname.thisN,newname.thisIndex,rules.started,rules.stopped,begin.keys,begin.rt,begin.started,begin.stopped,shapeResp.keys,shapeResp.rt,shapeResp.started,shapeResp.stopped,cross.started,cross.stopped,image.started,image.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,cros2.started,cros2.stopped,dimResp.keys,dimResp.rt,dimResp.started,dimResp.stopped,opaque.started,opaque.stopped,ending.started,ending.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,20.05821690009907,None,space,13.272020200034603,20.05821690009907,None,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2021_Dec_01_1502,ShapeDimExp,2021.2.3,59.51555532153778,
square,circle.png,squaredim.png,left,0,0,0,18,,,,,,,,,,,right,0.5988938000518829,33.871645600069314,None,33.37835479993373,33.78760879999027,33.871645600069314,33.970649800030515,,,,,,,,,,,,,,,,,13,001,2021_Dec_01_1502,ShapeDimExp,2021.2.3,59.51555532153778,
square,square.png,squaredim.png,left,0,1,1,22,,,,,,,,,,,left,0.48237970005720854,36.387545299949124,None,35.90258420002647,36.30335650010966,36.387545299949124,36.48809499992058,,,,,,,,,,,,,,,,,13,001,2021_Dec_01_1502,ShapeDimExp,2021.2.3,59.51555532153778,
square,circle.png,squaredim.png,left,0,2,2,16,,,,,,,,,,,left,0.4351822999306023,38.88691290002316,None,38.40519220009446,38.81954689999111,38.88691290002316,38.98660039994866,,,,,,,,,,,,,,,,,13,001,2021_Dec_01_1502,ShapeDimExp,2021.2.3,59.51555532153778,
square,square.png,squaredim.png,left,0,3,3,24,,,,,,,,,,,left,0.4539077999070287,41.36993149993941,None,40.876846299972385,41.28666320000775,41.36993149993941,41.47157900012098,,,,,,,,,,,,,,,,,13,001,2021_Dec_01_1502,ShapeDimExp,2021.2.3,59.51555532153778,
square,circle.png,squaredim.png,left,0,4,4,21,,,,,,,,,,,None,,43.885740200057626,None,43.40215070010163,43.80290180002339,43.885740200057626,43.985387899912894,,,,,,,,,,,,,,,,,13,001,2021_Dec_01_1502,ShapeDimExp,2021.2.3,59.51555532153778,
circle,square.png,circledim.png,right,0,5,5,12,,,,,,,,,,,left,0.552432200172916,46.370232600020245,None,45.88542850012891,46.28527310001664,46.370232600020245,46.484761900035664,,,,,,,,,,,,,,,,,13,001,2021_Dec_01_1502,ShapeDimExp,2021.2.3,59.51555532153778,
circle,circle.png,circledim.png,right,0,6,6,5,,,,,,,,,,,right,0.45129170012660325,48.88443269999698,None,48.39029449992813,48.801099200034514,48.88443269999698,48.9854085999541,,,,,,,,,,,,,,,,,13,001,2021_Dec_01_1502,ShapeDimExp,2021.2.3,59.51555532153778,
circle,circle.png,circledim.png,right,0,7,7,4,,,,,,,,,,,right,0.459505399921909,51.38531990000047,None,50.89651300013065,51.30098979989998,51.38531990000047,51.48489960003644,,,,,,,,,,,,,,,,,13,001,2021_Dec_01_1502,ShapeDimExp,2021.2.3,59.51555532153778,
square,square.png,squaredim.png,left,0,8,8,28,,,,,,,,,,,left,0.5357419000938535,53.88367830007337,None,53.39454269991256,53.80055860010907,53.88367830007337,53.98382470011711,,,,,,,,,,,,,,,,,13,001,2021_Dec_01_1502,ShapeDimExp,2021.2.3,59.51555532153778,
circle,circle.png,circledim.png,right,0,9,9,1,,,,,,,,,,,right,0.543701599817723,56.38363689999096,None,55.900611700024456,56.30006040004082,56.38363689999096,56.48386700008996,,,,,,,,,,,,,,,,,13,001,2021_Dec_01_1502,ShapeDimExp,2021.2.3,59.51555532153778,
square,square.png,squaredim.png,left,0,10,10,29,,,,,,,,,,,left,0.44382279994897544,58.866324400063604,None,58.38120030006394,58.784099499927834,58.866324400063604,58.96620319993235,,,,,,,,,,,,,,,,,13,001,2021_Dec_01_1502,ShapeDimExp,2021.2.3,59.51555532153778,
square,circle.png,squaredim.png,left,0,11,11,17,,,,,,,,,,,right,0.38771589985117316,61.38283020001836,None,60.88830769993365,61.299259799998254,61.38283020001836,61.481968299951404,,,,,,,,,,,,,,,,,13,001,2021_Dec_01_1502,ShapeDimExp,2021.2.3,59.51555532153778,
circle,square.png,circledim.png,right,0,12,12,7,,,,,,,,,,,left,0.34431540011428297,63.88206849992275,None,63.40067599993199,63.81662350008264,63.88206849992275,63.9823412001133,,,,,,,,,,,,,,,,,13,001,2021_Dec_01_1502,ShapeDimExp,2021.2.3,59.51555532153778,
circle,square.png,circledim.png,right,0,13,13,14,,,,,,,,,,,left,0.46676940005272627,66.38213189993985,None,65.88539810013026,66.29805519990623,66.38213189993985,66.48164750006981,,,,,,,,,,,,,,,,,13,001,2021_Dec_01_1502,ShapeDimExp,2021.2.3,59.51555532153778,
square,circle.png,squaredim.png,left,0,14,14,20,,,,,,,,,,,right,0.5476048002019525,68.88109180005267,None,68.39158520009369,68.79766359995119,68.88109180005267,68.9818540001288,,,,,,,,,,,,,,,,,13,001,2021_Dec_01_1502,ShapeDimExp,2021.2.3,59.51555532153778,
