shape,picture,colourshape,correctAns,loops.thisRepN,loops.thisTrialN,loops.thisN,loops.thisIndex,newname.thisRepN,newname.thisTrialN,newname.thisN,newname.thisIndex,rules.started,rules.stopped,begin.keys,begin.rt,begin.started,begin.stopped,shapeResp.keys,shapeResp.rt,shapeResp.started,shapeResp.stopped,cross.started,cross.stopped,image.started,image.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,cros2.started,cros2.stopped,dimResp.keys,dimResp.started,dimResp.stopped,opaque.started,opaque.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,21.0384548,None,space,11.6829509,21.0384548,None,,,,,,,,,,,,,,,,,,,,,,Zoe,1,2021_Dec_01_1411,ShapeDimExp,2021.2.3,59.64626192
circle,circle.png,circledim.png,,0,0,0,14,,,,,,,,,,,right,1.8849943,33.2547302,None,32.7642388,33.1709459,33.2547302,33.4567044,,,,,,,,,,,,,,Zoe,1,2021_Dec_01_1411,ShapeDimExp,2021.2.3,59.64626192
circle,circle.png,circledim.png,,0,1,1,13,,,,,,,,,,,right,0.545864,35.7552447,None,35.264585,35.67035,35.7552447,35.9550632,,,,,,,,,,,,,,Zoe,1,2021_Dec_01_1411,ShapeDimExp,2021.2.3,59.64626192
square,square.png,squaredim.png,,0,2,2,29,,,,,,,,,,,left,0.4102477,38.2546998,None,37.762904,38.1698762,38.2546998,38.4698655,,,,,,,,,,,,,,Zoe,1,2021_Dec_01_1411,ShapeDimExp,2021.2.3,59.64626192
square,square.png,squaredim.png,,0,3,3,24,,,,,,,,,,,left,0.3377302,40.7542855,None,40.2630872,40.669674,40.7542855,40.9697192,,,,,,,,,,,,,,Zoe,1,2021_Dec_01_1411,ShapeDimExp,2021.2.3,59.64626192
circle,circle.png,circledim.png,,0,4,4,11,,,,,,,,,,,right,0.4067356,43.2536328,None,42.7711019,43.1853178,43.2536328,43.453022,,,,,,,,,,,,,,Zoe,1,2021_Dec_01_1411,ShapeDimExp,2021.2.3,59.64626192
circle,circle.png,circledim.png,,0,5,5,4,,,,,,,,,,,left,0.298233,45.7523766,None,45.2699797,45.6859922,45.7523766,45.9523956,,,,,,,,,,,,,,Zoe,1,2021_Dec_01_1411,ShapeDimExp,2021.2.3,59.64626192
circle,circle.png,circledim.png,,0,6,6,3,,,,,,,,,,,right,0.5528462,48.2538208,None,47.7675121,48.1686165,48.2538208,48.4688123,,,,,,,,,,,,,,Zoe,1,2021_Dec_01_1411,ShapeDimExp,2021.2.3,59.64626192
square,square.png,squaredim.png,,0,7,7,21,,,,,,,,,,,left,0.5532924,50.7512282,None,50.2595271,50.6676586,50.7512282,50.9505122,,,,,,,,,,,,,,Zoe,1,2021_Dec_01_1411,ShapeDimExp,2021.2.3,59.64626192
square,square.png,squaredim.png,,0,8,8,27,,,,,,,,,,,left,0.433668,53.2509141,None,52.7612353,53.1671915,53.2509141,53.4508814,,,,,,,,,,,,,,Zoe,1,2021_Dec_01_1411,ShapeDimExp,2021.2.3,59.64626192
square,square.png,squaredim.png,,0,9,9,18,,,,,,,,,,,left,0.4070312,55.7512125,None,55.2653979,55.6667837,55.7512125,55.9502132,,,,,,,,,,,,,,Zoe,1,2021_Dec_01_1411,ShapeDimExp,2021.2.3,59.64626192
