shape,picture,colourshape,correctAns,loops.thisRepN,loops.thisTrialN,loops.thisN,loops.thisIndex,newname.thisRepN,newname.thisTrialN,newname.thisN,newname.thisIndex,rules.started,rules.stopped,begin.keys,begin.rt,begin.started,begin.stopped,shapeResp.keys,shapeResp.rt,shapeResp.started,shapeResp.stopped,cross.started,cross.stopped,image.started,image.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,cros2.started,cros2.stopped,dimResp.keys,dimResp.started,dimResp.stopped,opaque.started,opaque.stopped,dimResp.rt,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,21.3767053,None,space,16.960589,21.3767053,None,,,,,,,,,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circle.png,circledim.png,right,0,0,0,8,,,,,,,,,,,right,0.4923524,38.8701309,None,38.3857697,38.7864548,38.8701309,39.0704475,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circle.png,circledim.png,right,0,1,1,1,,,,,,,,,,,right,0.5336686,41.3699611,None,40.878768,41.2864627,41.3699611,41.5696643,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
square,square.png,squaredim.png,left,0,2,2,29,,,,,,,,,,,left,0.6120434,43.887234,None,43.391173,43.8024995,43.887234,44.1024731,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circle.png,circledim.png,right,0,3,3,6,,,,,,,,,,,right,0.4996698,46.3695012,None,45.8864677,46.2856612,46.3695012,46.5700032,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circle.png,circledim.png,right,0,4,4,0,,,,,,,,,,,right,0.4763264,48.8693342,None,48.3865532,48.7851273,48.8693342,49.0848754,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
square,square.png,squaredim.png,left,0,5,5,20,,,,,,,,,,,right,0.3672971,51.3675423,None,50.8835851,51.2847744,51.3675423,51.567605,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circle.png,circledim.png,right,0,6,6,13,,,,,,,,,,,right,0.3890208,53.8674539,None,53.3743912,53.7849654,53.8674539,54.0674162,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
square,square.png,squaredim.png,left,0,7,7,28,,,,,,,,,,,right,0.3894562,56.3673235,None,55.8848268,56.3012036,56.3673235,56.5673257,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
square,square.png,squaredim.png,left,0,8,8,15,,,,,,,,,,,left,0.3897608,58.8679495,None,58.3818693,58.7833936,58.8679495,59.0843235,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circle.png,circledim.png,right,0,9,9,12,,,,,,,,,,,right,0.2952061,61.3490042,None,60.866287,61.2662082,61.3490042,61.5489602,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circle.png,circledim.png,right,0,10,10,5,,,,,,,,,,,left,0.5174673,63.8509597,63.3656484,63.3656484,63.7655396,63.8509597,64.0655026,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circle.png,circledim.png,right,0,11,11,9,,,,,,,,,,,left,0.4296261,66.3658815,None,65.8743255,66.2816142,66.3658815,66.5655903,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
square,square.png,squaredim.png,left,0,12,12,16,,,,,,,,,,,left,0.4050851,68.8650691,None,68.3776249,68.7816209,68.8650691,69.0651575,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circle.png,circledim.png,right,0,13,13,14,,,,,,,,,,,right,0.3001628,71.3648177,None,70.8867966,71.2971267,71.3648177,71.5668039,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
square,square.png,squaredim.png,left,0,14,14,17,,,,,,,,,,,left,0.3728095,73.8642228,None,73.3762863,73.7805577,73.8642228,74.0805153,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
square,square.png,squaredim.png,left,0,15,15,26,,,,,,,,,,,right,0.2453946,76.3626637,None,75.8762753,76.280591,76.3626637,76.564033,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circle.png,circledim.png,right,0,16,16,11,,,,,,,,,,,right,0.3330834,78.8626976,None,78.3808312,78.7960607,78.8626976,79.0626553,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
square,square.png,squaredim.png,left,0,17,17,18,,,,,,,,,,,left,0.3342346,81.3626248,None,80.8786128,81.2786085,81.3626248,81.5632378,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circle.png,circledim.png,right,0,18,18,3,,,,,,,,,,,right,0.3655716,83.8609389,None,83.3794906,83.7955995,83.8609389,84.0622062,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
square,square.png,squaredim.png,left,0,19,19,19,,,,,,,,,,,left,0.2770133,86.3619185,None,85.8728784,86.2803698,86.3619185,86.5610848,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circle.png,circledim.png,right,0,20,20,2,,,,,,,,,,,right,0.3559937,88.8615088,None,88.3795374,88.7937419,88.8615088,89.0613897,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
square,square.png,squaredim.png,left,0,21,21,24,,,,,,,,,,,left,0.293892,91.3600211,None,90.8773633,91.2769955,91.3600211,91.5613863,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circle.png,circledim.png,right,0,22,22,4,,,,,,,,,,,right,0.3074246,93.8607613,None,93.3725358,93.7761753,93.8607613,94.075794,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
square,square.png,squaredim.png,left,0,23,23,23,,,,,,,,,,,left,0.2527286,96.3443073,None,95.8615725,96.276911,96.3443073,96.5607093,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circle.png,circledim.png,right,0,24,24,10,,,,,,,,,,,left,0.3481281,98.8600974,None,98.367278,98.7752447,98.8600974,99.05998,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
square,square.png,squaredim.png,left,0,25,25,22,,,,,,,,,,,left,0.3014943,101.3584564,None,100.8733123,101.2746863,101.3584564,101.5592598,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
square,square.png,squaredim.png,left,0,26,26,25,,,,,,,,,,,left,0.3079315,103.8582417,None,103.3774263,103.7902232,103.8582417,104.0581226,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circle.png,circledim.png,right,0,27,27,7,,,,,,,,,,,right,0.3942676,106.3581075,105.8665439,105.8665439,106.2758261,106.3581075,106.5735942,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
square,square.png,squaredim.png,left,0,28,28,21,,,,,,,,,,,left,0.3708261,108.8583449,108.3661388,108.3661388,108.7739315,108.8583449,109.057917,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
square,square.png,squaredim.png,left,0,29,29,27,,,,,,,,,,,right,0.3145615,111.357697,None,110.8713155,111.2729915,111.357697,111.5728016,,,,,,,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
,,,,,,,,,,,,,,,,,,,,,,,,,,113.3722342,None,space,10.4789313,113.3722342,None,,,,,,,,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circledim.png,circle.png,right,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,123.9011972,124.303407,None,124.5870878,None,124.5870878,124.6876899,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
square,squaredim.png,circle.png,left,,,,,0,1,1,20,,,,,,,,,,,,,,,,,,,,,126.4064323,126.8198742,None,127.0879384,None,127.0879384,127.188083,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circledim.png,square.png,right,,,,,0,2,2,14,,,,,,,,,,,,,,,,,,,,,128.8977642,129.3048313,right,129.585894,None,129.585894,129.6892834,1.1374515,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
square,squaredim.png,square.png,left,,,,,0,3,3,23,,,,,,,,,,,,,,,,,,,,,131.3996472,131.8022707,left,132.0871412,None,132.0871412,132.202098,0.7234097,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circledim.png,square.png,right,,,,,0,4,4,12,,,,,,,,,,,,,,,,,,,,,133.8884667,134.3015162,right,134.5860638,None,134.5860638,134.6858479,0.1413382,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circledim.png,square.png,right,,,,,0,5,5,13,,,,,,,,,,,,,,,,,,,,,136.3913083,136.8011233,left,137.0849726,None,137.0849726,137.1845826,0.0484437,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circledim.png,circle.png,right,,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,,,138.9001533,139.3021824,None,139.5837148,None,139.5837148,139.6841753,,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circledim.png,square.png,right,,,,,0,7,7,11,,,,,,,,,,,,,,,,,,,,,141.3956795,141.8013529,right,142.0843229,None,142.0843229,142.184545,0.891514,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
square,squaredim.png,circle.png,left,,,,,0,8,8,15,,,,,,,,,,,,,,,,,,,,,143.8868877,144.3015323,left,144.5851287,None,144.5851287,144.7007587,1.1525624,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circledim.png,circle.png,right,,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,146.3935098,146.7995035,right,147.0830436,None,147.0830436,147.1826462,0.2049875,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
circle,circledim.png,square.png,right,,,,,0,10,10,7,,,,,,,,,,,,,,,,,,,,,148.8849759,149.2983749,left,149.5652356,None,149.5652356,149.6655003,0.1354782,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
square,squaredim.png,square.png,left,,,,,0,11,11,24,,,,,,,,,,,,,,,,,,,,,151.3669817,151.781706,right,152.0481767,151.3669817,152.0481767,152.1479625,0.708,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
square,squaredim.png,square.png,left,,,,,0,12,12,22,,,,,,,,,,,,,,,,,,,,,153.8663167,154.2815107,left,154.5489551,153.8663167,154.5489551,154.6495097,1.1073864,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
square,squaredim.png,circle.png,left,,,,,0,13,13,16,,,,,,,,,,,,,,,,,,,,,156.3585744,156.7637029,right,157.0479459,156.3585744,157.0479459,157.1474741,0.5388958,experimentee 2,1,2021_Dec_01_1419,ShapeDimExp,2021.2.3,60.3525434
